Combined_Column,"низькопоклонництво, низькопоклонство, лежати ниць"
dutiful [dutiful] (Adj),"слухняний, покірний, ретельний"
goofballs [goofball] (Noun),"гуфбол, Гуфболи"
rubes [rub] (Noun),"терти, натирання, стирання"
irritated [irritated] (Verb),"роздратований, роздратовану, надокучений"
rigged [rig] (Verb),"сфальсифіковані, Ріг, агрегат"
sacrifice [sacrifice] (Verb),"жертва, жертвування, жертвувати"
intimidating [intimidating] (Verb),"залякуючий, лякаючий, наляканий"
seductive [seductive] (Adj),"спокусливі, спокусливий, чарівливий"
occurred [occur] (Verb),"сталося, відбулося, настало"
obedient [obedient] (Adj),"слухняний, покірний, послушний"
pinching [pinching] (Noun),"щипати, Щипати"
Slapping [slapping] (Noun),"величезний, запаморочливий, навальний"
spit [spit] (Verb),"плювати, коса, насмілюватися"
ascot [ascot] (Noun),"Ascot, краватка, Аскот"
insignificant [insignificant] (Adj),"незначний, незначним, непомітний"
lam [lam] (Noun),"Лам, втеча, лупцювати"
creep [creep] (Noun),"повзучості, повзати, потворний"
detest [detest] (Verb),"ненавидіти, відчувати відразу, не терпіти"
blurt [blurt] (Verb),"необережне слово, ляпнути, хропти"
toss [toss] (Verb),"кидати, швидко кидати, руйнувати"
effort [effort] (Noun),"зусилля, напруження, зусиль"
snot [snot] (Noun),"соплі, шмаркач, шмарклі"
passion [passion] (Noun),"пристрасть, захоплення, палко"
spruce [spruce] (Verb),"ялина, чепуристий, чистенький"
wimpy [wimpy] (Adj),"нещасний, Wimpy, wimpy"
rot [rot] (Noun),"гниль, гнити, розкладатися"
conspired [conspire] (Verb),"учиняти змову, змовлятися, конспірувати"
sack [sack] (Noun),"мішок, відро, шматок тканини"
hayloft [hayloft] (Noun),"сінник, Сінник"
wee [wee] (Adj),"малесенький, передсвітанкові, крихітний"
folk [folk] (Noun),"народні, фолк, людові"
sagging [sagging] (Noun),"провисання, Провисання"
fleshy [fleshy] (Noun),"м'ясисті, м'ясистий, товстий"
scheming [scheme] (Verb),"інтриги, схема, комбінація"
biding [bid] (Verb),"торги, запрошення, заявка"
Highness [Highness] (Noun),"Високість, високий ступінь, висота"
chirping [chirping] (Noun),"спів, щебетання, піщання"
aftershave [aftershave] (Noun),"aftershave, лосьон після гоління"
reveal [reveal] (Adj),"виявити, розкрити, відкрити"
gophers [gopher] (Noun),"ховрахи, gopher, гофер"
humiliated [humiliate] (Verb),"принижувати, приниженим, покалічений"
riddance [riddance] (Noun),"позбавлення, прибирання, уникнення"
conjecture [conjecture] (Noun),гіпотези
boner [boner] (Noun),промах
thigh [thigh] (Noun),стегна
sipping [sipp] (Verb),потягуючи
embarrassed [embarrassed] (Adj),"соромляться, збентежений, зніяковів"
bush [bush] (Noun),"Буш, Буша, куща"
pouting [pouting] (Verb),"дути, намурмоситися, дутися"
bailed [bail] (Verb),заставу
